idSesion,nivelEducativo,disciplina,fechaSesion,duracionMinutos,totalPrompts,tipoTarea,nivelAsistenciaIA,resultadoFinal,usoPosterior,satisfaccion
SESSION00065,Secundaria,Psicología,02/03/2025,12.2,2,Lluvia de ideas,4,Idea desarrollada,Sí,4.4
SESSION00066,Pregrado,Biología,02/11/2024,8.89,3,Programación,3,Tarea completada,Sí,2.7
SESSION00067,Pregrado,Ciencias de la Computación,02/12/2024,6.84,1,Estudio,3,Idea desarrollada,Sí,2.5
SESSION00068,Pregrado,Negocios,11/04/2025,12.79,2,Programación,3,Tarea completada,Sí,3.8
SESSION00069,Pregrado,Historia,15/05/2025,41.2,12,Estudio,3,Idea desarrollada,Sí,3.1
SESSION00070,Posgrado,Ciencias de la Computación,26/06/2024,16.56,6,Ayuda en tareas,2,Tarea completada,Sí,3.0
SESSION00071,Pregrado,Ingeniería,24/10/2024,10.4,3,Estudio,4,Idea desarrollada,Sí,5.0
SESSION00072,Pregrado,Negocios,24/05/2025,11.04,5,Programación,3,Confundido,No,2.3
SESSION00073,Pregrado,Matemáticas,20/12/2024,5.3,1,Programación,3,Tarea completada,Sí,2.3
SESSION00074,Secundaria,Ingeniería,27/07/2024,14.02,4,Estudio,4,Confundido,No,4.4
SESSION00075,Secundaria,Psicología,15/08/2024,49.67,10,Redacción,5,Tarea completada,No,5.0
SESSION00076,Posgrado,Biología,17/05/2025,13.4,3,Estudio,4,Tarea completada,Sí,5.0
SESSION00077,Pregrado,Ingeniería,31/07/2024,26.8,8,Redacción,3,Idea desarrollada,Sí,2.5
SESSION00078,Pregrado,Historia,09/02/2025,7.29,1,Programación,5,Tarea completada,Sí,5.0
SESSION00079,Posgrado,Negocios,12/01/2025,48.37,20,Ayuda en tareas,3,Tarea completada,Sí,3.2
SESSION00080,Pregrado,Historia,28/01/2025,37.05,13,Programación,2,Idea desarrollada,Sí,1.8
SESSION00081,Pregrado,Historia,17/04/2025,15.94,6,Ayuda en tareas,3,Tarea completada,No,4.3
SESSION00082,Pregrado,Ciencias de la Computación,08/08/2024,16.4,4,Estudio,4,Tarea completada,Sí,4.2
SESSION00083,Pregrado,Matemáticas,09/02/2025,19.56,7,Lluvia de ideas,5,Confundido,No,5.0
SESSION00084,Posgrado,Negocios,15/08/2024,11.48,2,Ayuda en tareas,3,Idea desarrollada,Sí,2.5
SESSION00085,Pregrado,Negocios,24/12/2024,16.28,3,Redacción,2,Idea desarrollada,No,1.5
SESSION00086,Secundaria,Matemáticas,01/01/2025,7.34,2,Redacción,2,Confundido,No,2.6
SESSION00087,Posgrado,Negocios,24/01/2025,16.32,3,Programación,5,Tarea completada,Sí,4.2
SESSION00088,Secundaria,Negocios,24/01/2025,14.88,5,Ayuda en tareas,3,Tarea completada,Sí,4.1
SESSION00089,Pregrado,Historia,01/04/2025,14.59,4,Ayuda en tareas,3,Tarea completada,Sí,3.5
SESSION00090,Pregrado,Negocios,15/04/2025,4.65,1,Estudio,4,Confundido,No,3.1
SESSION00091,Pregrado,Ciencias de la Computación,03/11/2024,24.83,8,Redacción,3,Tarea completada,Sí,3.4
SESSION00092,Pregrado,Biología,09/08/2024,10.39,2,Redacción,5,Tarea completada,No,5.0
SESSION00093,Pregrado,Matemáticas,21/02/2025,35.49,16,Ayuda en tareas,5,Confundido,Sí,5.0
SESSION00094,Posgrado,Historia,04/05/2025,12.9,3,Ayuda en tareas,2,Confundido,Sí,1.0
SESSION00095,Secundaria,Negocios,06/07/2024,9.77,2,Ayuda en tareas,2,Tarea completada,Sí,2.0
SESSION00096,Posgrado,Biología,25/04/2025,11.12,4,Redacción,4,Abandonó,No,3.9
SESSION00097,Secundaria,Historia,14/05/2025,30.82,14,Ayuda en tareas,4,Tarea completada,Sí,2.3
SESSION00098,Pregrado,Ingeniería,26/02/2025,27.26,7,Ayuda en tareas,3,Abandonó,Sí,2.8
SESSION00099,Pregrado,Matemáticas,25/10/2024,11.17,3,Estudio,4,Idea desarrollada,Sí,2.7
SESSION00100,Posgrado,Psicología,27/09/2024,4.68,1,Estudio,3,Confundido,No,2.8
SESSION00101,Posgrado,Biología,23/10/2024,24.33,5,Ayuda en tareas,4,Tarea completada,Sí,3.5
SESSION00102,Pregrado,Ingeniería,18/01/2025,16.16,4,Estudio,4,Tarea completada,Sí,1.9
SESSION00103,Pregrado,Negocios,09/05/2025,8.75,3,Ayuda en tareas,3,Idea desarrollada,Sí,1.0
SESSION00104,Pregrado,Psicología,06/12/2024,14.9,3,Redacción,3,Idea desarrollada,No,1.6
SESSION00105,Pregrado,Biología,15/10/2024,14.8,5,Programación,3,Tarea completada,Sí,3.0
SESSION00106,Pregrado,Negocios,09/07/2024,7.82,2,Estudio,4,Idea desarrollada,Sí,3.7
SESSION00107,Pregrado,Psicología,23/05/2025,39.45,8,Estudio,4,Idea desarrollada,Sí,3.2
SESSION00108,Secundaria,Negocios,04/08/2024,16.63,4,Estudio,1,Confundido,No,1.5
SESSION00109,Posgrado,Matemáticas,15/07/2024,41.83,16,Estudio,2,Idea desarrollada,No,1.9
SESSION00110,Posgrado,Ingeniería,23/06/2025,15.97,6,Redacción,3,Tarea completada,Sí,3.5
SESSION00111,Posgrado,Ciencias de la Computación,18/10/2024,39.43,16,Investigación,4,Abandonó,No,5.0
SESSION00112,Pregrado,Biología,09/03/2025,28.36,7,Redacción,4,Tarea completada,Sí,3.9
SESSION00113,Pregrado,Biología,16/08/2024,10.94,5,Programación,5,Idea desarrollada,Sí,3.6
SESSION00114,Pregrado,Psicología,21/03/2025,25.5,6,Ayuda en tareas,3,Tarea completada,Sí,3.6
SESSION00115,Secundaria,Matemáticas,02/10/2024,23.19,9,Ayuda en tareas,4,Tarea completada,No,2.9
SESSION00116,Secundaria,Negocios,06/05/2025,13.61,3,Redacción,3,Idea desarrollada,Sí,3.6
SESSION00117,Posgrado,Psicología,18/11/2024,18.01,4,Redacción,3,Idea desarrollada,Sí,3.1
SESSION00118,Pregrado,Biología,22/08/2024,22.8,4,Redacción,4,Confundido,No,3.7
SESSION00119,Pregrado,Ciencias de la Computación,11/10/2024,15.91,5,Investigación,4,Idea desarrollada,No,3.1
SESSION00120,Pregrado,Matemáticas,03/11/2024,20.93,9,Estudio,5,Tarea completada,Sí,5.0
SESSION00121,Pregrado,Historia,20/05/2025,33.88,7,Redacción,5,Idea desarrollada,Sí,4.3
SESSION00122,Secundaria,Biología,01/12/2024,7.12,3,Lluvia de ideas,3,Tarea completada,No,2.4
SESSION00123,Pregrado,Ingeniería,22/07/2024,19.37,4,Estudio,2,Abandonó,No,2.7
SESSION00124,Pregrado,Matemáticas,16/01/2025,16.79,4,Lluvia de ideas,5,Confundido,No,4.4
SESSION00125,Posgrado,Biología,12/11/2024,13.61,3,Lluvia de ideas,5,Tarea completada,Sí,3.6
SESSION00126,Pregrado,Matemáticas,23/07/2024,19.28,5,Redacción,3,Tarea completada,No,2.5
SESSION00127,Posgrado,Biología,03/01/2025,16.64,4,Estudio,3,Abandonó,Sí,2.5
SESSION00128,Pregrado,Psicología,21/10/2024,18.61,4,Redacción,5,Tarea completada,Sí,4.4
SESSION00129,Secundaria,Ciencias de la Computación,06/04/2025,14.37,4,Investigación,5,Tarea completada,No,4.7
SESSION00130,Pregrado,Psicología,18/10/2024,3.6,1,Redacción,4,Tarea completada,Sí,4.9
SESSION00131,Pregrado,Historia,29/11/2024,37.72,7,Redacción,3,Tarea completada,Sí,2.9
SESSION00132,Pregrado,Matemáticas,02/07/2024,8.05,2,Programación,5,Tarea completada,Sí,4.5
SESSION00133,Pregrado,Psicología,04/07/2024,20.21,5,Estudio,3,Idea desarrollada,No,2.6
SESSION00134,Posgrado,Psicología,12/10/2024,14.06,3,Ayuda en tareas,5,Abandonó,No,5.0
SESSION00135,Pregrado,Ciencias de la Computación,29/10/2024,15.82,4,Redacción,4,Idea desarrollada,Sí,3.6
SESSION00136,Secundaria,Ciencias de la Computación,03/09/2024,6.97,2,Estudio,4,Abandonó,No,4.2
SESSION00137,Pregrado,Negocios,27/03/2025,2.54,1,Programación,5,Idea desarrollada,Sí,5.0
SESSION00138,Posgrado,Psicología,30/07/2024,10.73,4,Redacción,4,Idea desarrollada,No,5.0
SESSION00139,Pregrado,Negocios,27/05/2025,18.37,4,Programación,5,Tarea completada,Sí,5.0
SESSION00140,Posgrado,Matemáticas,16/08/2024,8.62,2,Programación,3,Tarea completada,Sí,2.1
SESSION00141,Pregrado,Ciencias de la Computación,20/06/2025,23.52,11,Redacción,3,Tarea completada,Sí,2.3
SESSION00142,Pregrado,Historia,13/01/2025,20.13,5,Investigación,5,Idea desarrollada,No,5.0
SESSION00143,Posgrado,Historia,13/02/2025,15.46,4,Estudio,5,Confundido,No,5.0
SESSION00144,Pregrado,Historia,11/02/2025,14.86,6,Lluvia de ideas,3,Tarea completada,Sí,2.7
SESSION00145,Posgrado,Ciencias de la Computación,20/05/2025,18.14,6,Programación,3,Tarea completada,Sí,2.3
SESSION00146,Secundaria,Negocios,01/08/2024,16.64,7,Lluvia de ideas,5,Tarea completada,Sí,5.0
SESSION00147,Pregrado,Matemáticas,11/11/2024,31.16,6,Redacción,3,Idea desarrollada,Sí,2.8
SESSION00148,Pregrado,Ingeniería,07/08/2024,11.21,3,Estudio,3,Idea desarrollada,Sí,1.6
SESSION00149,Pregrado,Psicología,30/07/2024,10.41,2,Redacción,4,Tarea completada,Sí,2.8
SESSION00150,Pregrado,Matemáticas,04/10/2024,26.97,6,Ayuda en tareas,4,Confundido,No,3.7
SESSION00151,Secundaria,Ciencias de la Computación,18/04/2025,22.46,10,Estudio,3,Confundido,Sí,2.6
SESSION00152,Posgrado,Psicología,31/10/2024,7.53,2,Estudio,4,Tarea completada,Sí,3.2
SESSION00153,Posgrado,Biología,25/10/2024,14.95,3,Programación,4,Idea desarrollada,Sí,2.2
SESSION00154,Pregrado,Ingeniería,04/06/2025,15.7,5,Ayuda en tareas,5,Tarea completada,Sí,3.3
SESSION00155,Posgrado,Ciencias de la Computación,11/08/2024,25.73,8,Ayuda en tareas,4,Tarea completada,Sí,3.7
SESSION00156,Pregrado,Negocios,02/09/2024,7.61,3,Ayuda en tareas,3,Tarea completada,Sí,3.2
SESSION00157,Pregrado,Negocios,02/02/2025,20.22,6,Ayuda en tareas,2,Tarea completada,Sí,1.0
SESSION00158,Pregrado,Negocios,14/09/2024,14.04,3,Programación,4,Idea desarrollada,Sí,4.2
SESSION00159,Posgrado,Ciencias de la Computación,05/02/2025,12.47,4,Ayuda en tareas,2,Tarea completada,Sí,3.8
SESSION00160,Pregrado,Ingeniería,30/04/2025,6.51,1,Programación,4,Tarea completada,Sí,4.0
SESSION00161,Pregrado,Negocios,24/07/2024,11.77,4,Programación,3,Tarea completada,Sí,2.9
SESSION00162,Pregrado,Historia,21/09/2024,13.1,2,Redacción,3,Tarea completada,Sí,1.3
SESSION00163,Posgrado,Psicología,13/07/2024,3.22,1,Ayuda en tareas,5,Tarea completada,Sí,4.8
SESSION00164,Secundaria,Ingeniería,09/10/2024,11.77,2,Redacción,5,Tarea completada,No,4.4
SESSION00165,Secundaria,Ciencias de la Computación,22/10/2024,8.04,1,Redacción,3,Tarea completada,No,3.3
SESSION00166,Secundaria,Negocios,16/05/2025,8.32,1,Estudio,2,Idea desarrollada,No,1.0
SESSION00167,Secundaria,Ciencias de la Computación,15/04/2025,11.18,3,Ayuda en tareas,3,Confundido,Sí,3.2
SESSION00168,Pregrado,Matemáticas,23/01/2025,40.08,9,Programación,4,Tarea completada,Sí,4.1
SESSION00169,Pregrado,Ingeniería,13/04/2025,8.02,2,Programación,4,Tarea completada,Sí,4.7
SESSION00170,Pregrado,Ciencias de la Computación,20/01/2025,6.85,1,Redacción,4,Confundido,No,4.7
SESSION00171,Pregrado,Negocios,13/06/2025,24.99,5,Estudio,4,Idea desarrollada,Sí,3.3
SESSION00172,Pregrado,Ingeniería,23/05/2025,1.2,1,Estudio,4,Tarea completada,No,3.9
SESSION00173,Pregrado,Ingeniería,24/07/2024,21.11,8,Ayuda en tareas,3,Tarea completada,Sí,3.3
SESSION00174,Secundaria,Matemáticas,05/05/2025,13.04,3,Redacción,2,Confundido,No,1.0
SESSION00175,Pregrado,Ingeniería,27/03/2025,20.31,7,Estudio,4,Idea desarrollada,Sí,4.0
SESSION00176,Pregrado,Psicología,23/01/2025,16.66,3,Redacción,3,Tarea completada,Sí,3.1
SESSION00177,Pregrado,Negocios,22/06/2025,13.47,2,Redacción,4,Tarea completada,Sí,3.8
SESSION00178,Pregrado,Biología,03/02/2025,9.27,2,Redacción,4,Tarea completada,Sí,5.0
SESSION00179,Pregrado,Ingeniería,27/05/2025,11.43,2,Redacción,3,Tarea completada,Sí,3.3
SESSION00180,Posgrado,Psicología,19/03/2025,19.55,8,Programación,3,Confundido,No,1.2
SESSION00181,Pregrado,Ciencias de la Computación,22/01/2025,8.34,2,Redacción,3,Tarea completada,Sí,4.9
SESSION00182,Pregrado,Ciencias de la Computación,17/10/2024,3.55,1,Estudio,3,Idea desarrollada,Sí,2.3
SESSION00183,Pregrado,Psicología,10/06/2025,9.93,3,Programación,5,Tarea completada,Sí,5.0
SESSION00184,Secundaria,Negocios,24/01/2025,3.64,1,Redacción,5,Idea desarrollada,Sí,4.4
SESSION00185,Pregrado,Negocios,06/03/2025,38.8,8,Redacción,3,Idea desarrollada,Sí,3.4
SESSION00186,Secundaria,Psicología,17/10/2024,8.9,2,Estudio,5,Confundido,No,4.7
SESSION00187,Pregrado,Negocios,02/08/2024,20.62,4,Redacción,2,Tarea completada,Sí,2.1
SESSION00188,Posgrado,Biología,06/06/2025,27.27,6,Programación,5,Tarea completada,Sí,4.5
SESSION00189,Pregrado,Biología,27/11/2024,39.67,19,Programación,4,Tarea completada,No,3.9
SESSION00190,Secundaria,Matemáticas,12/04/2025,9.45,3,Ayuda en tareas,4,Tarea completada,Sí,3.5
SESSION00191,Pregrado,Ciencias de la Computación,20/06/2025,13.43,2,Redacción,3,Abandonó,Sí,3.9
SESSION00192,Pregrado,Ciencias de la Computación,09/07/2024,11.71,3,Ayuda en tareas,3,Confundido,Sí,2.9
SESSION00193,Posgrado,Ciencias de la Computación,23/10/2024,16.22,5,Ayuda en tareas,3,Tarea completada,Sí,3.2
SESSION00194,Pregrado,Biología,15/06/2025,19.03,4,Estudio,3,Abandonó,No,3.6
SESSION00195,Pregrado,Ciencias de la Computación,30/05/2025,10.37,4,Estudio,4,Confundido,No,4.3
SESSION00196,Pregrado,Negocios,04/12/2024,37.05,14,Estudio,5,Idea desarrollada,Sí,5.0
SESSION00197,Pregrado,Negocios,30/07/2024,26.61,5,Lluvia de ideas,4,Tarea completada,No,3.3
SESSION00198,Pregrado,Ciencias de la Computación,06/03/2025,72.82,25,Ayuda en tareas,2,Abandonó,No,2.0
SESSION00199,Posgrado,Ciencias de la Computación,31/10/2024,24.43,5,Ayuda en tareas,5,Tarea completada,No,5.0
SESSION00200,Pregrado,Negocios,06/10/2024,15.52,4,Estudio,2,Confundido,No,2.8
SESSION00201,Posgrado,Negocios,07/04/2025,1.68,1,Ayuda en tareas,3,Confundido,Sí,1.7
SESSION00202,Posgrado,Ciencias de la Computación,14/07/2024,13.99,2,Ayuda en tareas,3,Confundido,No,4.3
SESSION00203,Pregrado,Historia,16/08/2024,23.58,6,Programación,4,Idea desarrollada,No,3.9
SESSION00204,Secundaria,Biología,20/07/2024,19.3,6,Estudio,4,Tarea completada,Sí,2.5
SESSION00205,Secundaria,Biología,30/07/2024,31.13,6,Ayuda en tareas,4,Tarea completada,Sí,2.5
SESSION00206,Posgrado,Psicología,07/02/2025,14.96,4,Estudio,2,Idea desarrollada,Sí,1.8
SESSION00207,Pregrado,Negocios,25/06/2024,47.16,17,Estudio,4,Tarea completada,Sí,3.3
SESSION00208,Pregrado,Biología,04/08/2024,4.48,1,Ayuda en tareas,3,Tarea completada,Sí,3.2
SESSION00209,Pregrado,Ingeniería,05/06/2025,39.95,9,Ayuda en tareas,4,Abandonó,No,3.9
SESSION00210,Pregrado,Historia,26/12/2024,48.04,10,Programación,5,Confundido,No,3.9
SESSION00211,Pregrado,Matemáticas,10/07/2024,7.55,3,Redacción,4,Abandonó,No,5.0
SESSION00212,Secundaria,Ingeniería,23/12/2024,20.2,5,Estudio,3,Tarea completada,No,4.0
SESSION00213,Pregrado,Psicología,04/05/2025,20.35,7,Programación,4,Tarea completada,No,5.0
SESSION00214,Pregrado,Ciencias de la Computación,11/11/2024,84.15,31,Ayuda en tareas,5,Confundido,No,5.0
SESSION00215,Pregrado,Negocios,28/11/2024,10.54,4,Redacción,5,Idea desarrollada,Sí,5.0
SESSION00216,Secundaria,Historia,20/01/2025,5.76,1,Ayuda en tareas,5,Tarea completada,Sí,5.0
SESSION00217,Pregrado,Ingeniería,04/08/2024,10.93,3,Investigación,1,Confundido,No,2.0
SESSION00218,Pregrado,Biología,04/10/2024,11.12,2,Ayuda en tareas,3,Tarea completada,Sí,2.5
SESSION00219,Pregrado,Psicología,24/08/2024,43.1,12,Estudio,3,Idea desarrollada,Sí,3.0
SESSION00220,Posgrado,Matemáticas,08/02/2025,5.18,1,Estudio,4,Tarea completada,Sí,4.9
SESSION00221,Posgrado,Negocios,23/06/2025,23.58,6,Redacción,3,Idea desarrollada,Sí,3.2
SESSION00222,Pregrado,Ingeniería,27/01/2025,30.16,11,Ayuda en tareas,2,Tarea completada,Sí,2.4
SESSION00223,Pregrado,Biología,06/06/2025,17.16,5,Programación,3,Tarea completada,Sí,2.4
SESSION00224,Secundaria,Historia,28/04/2025,24.37,6,Redacción,3,Tarea completada,Sí,4.4
SESSION00225,Posgrado,Ingeniería,28/09/2024,15.24,5,Estudio,4,Tarea completada,No,4.3
SESSION00226,Posgrado,Biología,25/07/2024,44.81,11,Redacción,5,Tarea completada,Sí,4.9
SESSION00227,Secundaria,Historia,31/10/2024,18.58,8,Investigación,5,Confundido,No,3.8
SESSION00228,Posgrado,Matemáticas,28/08/2024,11.51,3,Ayuda en tareas,5,Tarea completada,Sí,5.0
SESSION00229,Posgrado,Negocios,03/09/2024,62.93,17,Redacción,2,Tarea completada,No,1.9
SESSION00230,Pregrado,Ciencias de la Computación,02/03/2025,33.3,7,Programación,3,Confundido,No,2.3
SESSION00231,Posgrado,Psicología,15/06/2025,18.47,8,Estudio,4,Idea desarrollada,No,3.7
SESSION00232,Pregrado,Psicología,30/01/2025,46.97,20,Ayuda en tareas,3,Tarea completada,Sí,1.0
SESSION00233,Pregrado,Negocios,23/03/2025,16.77,4,Redacción,2,Tarea completada,Sí,1.5
SESSION00234,Secundaria,Historia,26/05/2025,15.87,3,Programación,4,Tarea completada,Sí,3.3
SESSION00235,Pregrado,Psicología,03/08/2024,15.21,7,Redacción,2,Tarea completada,Sí,1.1
SESSION00236,Pregrado,Ciencias de la Computación,23/02/2025,33.03,10,Redacción,2,Tarea completada,No,2.0
SESSION00237,Pregrado,Psicología,05/05/2025,28.1,10,Programación,3,Tarea completada,Sí,3.3
SESSION00238,Pregrado,Negocios,30/06/2024,10.52,4,Redacción,4,Tarea completada,Sí,3.5
SESSION00239,Posgrado,Matemáticas,23/12/2024,39.41,8,Redacción,3,Tarea completada,Sí,3.0
SESSION00240,Pregrado,Psicología,16/09/2024,8.87,4,Ayuda en tareas,3,Confundido,No,4.1
SESSION00241,Pregrado,Ingeniería,03/04/2025,28.1,13,Redacción,5,Idea desarrollada,Sí,5.0
SESSION00242,Posgrado,Biología,26/03/2025,5.57,2,Redacción,5,Abandonó,No,4.7
SESSION00243,Pregrado,Negocios,12/08/2024,4.8,2,Ayuda en tareas,2,Tarea completada,Sí,2.4
SESSION00244,Pregrado,Ciencias de la Computación,28/08/2024,10.72,3,Redacción,3,Confundido,No,3.6
SESSION00245,Pregrado,Ingeniería,06/04/2025,20.1,5,Programación,4,Tarea completada,Sí,4.2
SESSION00246,Pregrado,Biología,09/05/2025,9.18,4,Ayuda en tareas,2,Idea desarrollada,Sí,2.2
SESSION00247,Posgrado,Biología,25/05/2025,17.91,7,Estudio,5,Idea desarrollada,Sí,3.3
SESSION00248,Posgrado,Negocios,16/03/2025,17.27,4,Programación,4,Tarea completada,Sí,4.6
SESSION00249,Secundaria,Historia,07/01/2025,22.81,6,Ayuda en tareas,4,Tarea completada,Sí,3.1
SESSION00250,Pregrado,Biología,24/09/2024,27.42,5,Ayuda en tareas,3,Tarea completada,No,4.2
SESSION00251,Pregrado,Historia,29/11/2024,13.08,4,Ayuda en tareas,3,Tarea completada,Sí,4.0
SESSION00252,Pregrado,Historia,26/06/2024,25.74,6,Estudio,3,Confundido,No,3.5
SESSION00253,Posgrado,Biología,15/03/2025,11.92,4,Estudio,1,Tarea completada,Sí,1.0
